Name,lat,lng,site,star,logo
Alma,1.308688,103.83463,<a href='http://alma.sg'>Alma</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Béni,1.302341,103.836471,<a href='http://www.beni-sg.com'>Béni</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Candlenut,1.305834,103.810209,<a href='http://www.candlenut.com.sg'>Candlenut</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Corner House,1.308726,103.81795,<a href='http://www.cornerhouse.com.sg'>Corner House</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Crystal Jade Golden Palace,1.303931,103.835585,<a href='http://www.crystaljade.com/goldenpalace/'>Crystal Jade Golden Palace</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Cut,1.283949,103.858846,<a href='http://www.wolfgangpuck.com/restaurants/fine-dining/61447'>Cut</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Forest,1.256752,103.820331,<a href='http://www.rwsentosa.com/language/en-US/Homepage/Restaurants/CelebrityChefs/Forest'>Forest</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Hill Street Tai Hwa Pork Noodle,1.305322,103.862366,<a href='http://www.hungrygowhere.com/singapore/hill_street_tai_hwa_pork_noodle'>Hill Street Tai Hwa Pork Noodle</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Hong Kong Soya Sauce Chicken Rice & Noodle,1.282573,103.843098,<a href='https://danielfooddiary.com/2016/07/22/hongkongsoyasauce'>Hong Kong Soya Sauce Chicken Rice & Noodle</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Jaan,1.293196,103.852811,<a href='http://www.jaan.com.sg'>Jaan</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Joël Robuchon,1.256752,103.820331,<a href='http://www.rwsentosa.com/language/en-US/Homepage/Restaurants/CelebrityChefs/Jo%C3%ABlRobuchonRestaurant'>Joël Robuchon</a>,Icon3,https://upload.wikimedia.org/wikipedia/commons/1/18/Etoile_Michelin-3.svg
Lei Garden,1.295327,103.851464,<a href='http://chijmes.com.sg/lei-garden-restaurant'>Lei Garden</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Osia Steak and Seafood Grill,1.257681,103.822223,<a href='http://www.rwsentosa.com/language/en-US/Homepage/Restaurants/CelebrityChefs/Osia'>Osia Steak and Seafood Grill</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Putien (Kitchener Road),1.309567,103.857421,<a href='http://www.putien.com/outlet/kitchener-road'>Putien (Kitchener Road)</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Rhubarb,1.279393,103.843018,<a href='http://www.rhubarb.sg'>Rhubarb</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Shinji (Raffles Hotel),1.294436,103.854476,<a href='http://www.shinjibykanesaka.com/raffles/index.html'>Shinji (Raffles Hotel)</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Shinji (St Regis Hotel),1.30599,103.825891,<a href='http://www.shinjibykanesaka.com/stregis/index.html'>Shinji (St Regis Hotel)</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Summer Pavillion,1.290855,103.860189,<a href='http://www.ritzcarlton.com/en/hotels/singapore/dining/summer-pavilion'>Summer Pavillion</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Sushi Ichi,1.305236,103.832539,<a href='http://www.ginza-sushiichi.jp'>Sushi Ichi</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Terra,1.278017,103.844266,<a href='http://www.terraseita.com'>Terra</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
The Kitchen at Bacchanalia,1.287352,103.847475,<a href='http://www.bacchanalia.asia'>The Kitchen at Bacchanalia</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
The Song of India,1.31093,103.835192,<a href='http://www.thesongofindia.com'>The Song of India</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
Waku Ghin,1.286316,103.859275,<a href='http://www.marinabaysands.com/restaurants/celebrity-chefs/waku-ghin.html'>Waku Ghin</a>,Icon1,https://upload.wikimedia.org/wikipedia/commons/5/5a/Etoile_Michelin-1.svg
André,1.279429,103.840318,<a href='http://www.restaurantandre.com'>André</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
L'Atelier de Joël Robuchon,1.256752,103.820331,<a href='http://www.rwsentosa.com/language/en-US/Homepage/Restaurants/CelebrityChefs/LAtelierdeJo%C3%ABlRobuchon'>L'Atelier de Joël Robuchon</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
Les Amis,1.306216,103.831725,<a href='http://www.lesamis.com.sg'>Les Amis</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
Odette,1.29095,103.852467,<a href='http://www.odetterestaurant.com'>Odette</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
Shisen Hanten,1.302208,103.836443,<a href='http://www.shisenhanten.com.sg'>Shisen Hanten</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
Shoukouwa,1.28573,103.853928,<a href='http://www.shoukouwa.com.sg'>Shoukouwa</a>,Icon2,https://upload.wikimedia.org/wikipedia/commons/c/ce/Etoile_Michelin-2.svg
